epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5593,0.94683,1.2398,1.03349,0.46962,0.28387,0.28783,0.16352,1.52914,2.89571,1.55517,6.9e-06,6.9e-06,6.9e-06
2,63.4929,0.88011,1.19123,0.99045,0.46899,0.28166,0.28339,0.16029,1.52814,2.89172,1.55435,1.71931e-05,1.71931e-05,1.71931e-05
3,87.2073,0.94941,1.26615,0.9925,0.48957,0.25262,0.27631,0.15611,1.53099,2.92146,1.55699,2.74178e-05,2.74178e-05,2.74178e-05
4,111.342,0.92562,1.24985,1.00098,0.55889,0.26155,0.27726,0.15689,1.53031,2.94584,1.55962,3.75743e-05,3.75743e-05,3.75743e-05
5,132.026,0.88894,1.14674,1.00705,0.53137,0.27778,0.27273,0.15352,1.52602,2.98429,1.55992,4.76624e-05,4.76624e-05,4.76624e-05
6,153.501,0.95437,1.24309,0.98933,0.52621,0.26185,0.2705,0.15401,1.52346,3.03218,1.55316,5.76823e-05,5.76823e-05,5.76823e-05
7,176.272,0.92132,1.18374,1.00249,0.51875,0.25407,0.28544,0.16693,1.52587,3.05996,1.54407,6.76338e-05,6.76338e-05,6.76338e-05
8,198.107,0.90441,1.15885,0.98395,0.53166,0.24298,0.27917,0.16562,1.53983,3.06168,1.55356,7.7517e-05,7.7517e-05,7.7517e-05
9,220.207,0.91885,1.21959,0.98385,0.56189,0.23466,0.28048,0.16305,1.56186,3.07461,1.56951,8.73319e-05,8.73319e-05,8.73319e-05
10,243.525,0.88088,1.08596,1.00442,0.58141,0.23475,0.27971,0.1621,1.56744,3.07102,1.57666,9.70785e-05,9.70785e-05,9.70785e-05
11,271.379,0.91783,1.15775,1.0183,0.48989,0.24659,0.28018,0.16353,1.55762,3.07847,1.57555,0.000106757,0.000106757,0.000106757
12,293.604,0.89919,1.15157,0.9907,0.5102,0.24621,0.28108,0.16755,1.54332,3.09072,1.56675,0.000116367,0.000116367,0.000116367
13,315.533,0.95472,1.25374,1.01771,0.52709,0.26275,0.28635,0.17173,1.52,3.14123,1.551,0.000125908,0.000125908,0.000125908
14,335.707,0.89471,1.15407,0.9964,0.52853,0.26135,0.28291,0.17008,1.50932,3.17562,1.53535,0.000135382,0.000135382,0.000135382
15,355.551,0.91166,1.16054,0.9979,0.48586,0.23143,0.25926,0.15335,1.52106,3.26648,1.53848,0.000144787,0.000144787,0.000144787
16,374.718,0.87335,1.17268,1.01329,0.47048,0.23438,0.26323,0.15296,1.51314,3.29793,1.54168,0.000154124,0.000154124,0.000154124
17,394.17,0.92447,1.19308,1.00073,0.52385,0.23774,0.25759,0.14546,1.53394,3.28152,1.55681,0.000163392,0.000163392,0.000163392
18,416.729,0.94239,1.16107,1.0036,0.53994,0.24616,0.26326,0.14557,1.56971,3.24227,1.57401,0.000172592,0.000172592,0.000172592
19,439.544,0.89292,1.15389,0.98755,0.51762,0.23921,0.2758,0.14777,1.58881,3.19311,1.58597,0.000181724,0.000181724,0.000181724
20,463.536,0.90191,1.14859,1.00097,0.53399,0.22227,0.28377,0.15204,1.60027,3.16341,1.59646,0.000190787,0.000190787,0.000190787
21,487.14,0.85115,1.02258,0.98144,0.64952,0.20238,0.2854,0.15938,1.59679,3.16576,1.58908,0.000199783,0.000199783,0.000199783
22,509.936,0.89097,1.08922,1.03032,0.6281,0.20537,0.27908,0.15721,1.57261,3.18621,1.57092,0.000208709,0.000208709,0.000208709
