epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7811,1.11465,1.86176,1.20082,0.81974,0.80417,0.85554,0.67097,0.83665,1.07015,0.98957,2.76e-05,2.76e-05,2.76e-05
2,117.111,1.03388,1.63153,1.15508,0.75788,0.78824,0.84255,0.66042,0.8385,1.25403,0.99583,5.80694e-05,5.80694e-05,5.80694e-05
3,173.659,1.09139,1.61585,1.1511,0.70102,0.81946,0.84501,0.67178,0.82225,1.30411,0.99379,8.79239e-05,8.79239e-05,8.79239e-05
4,229.392,1.09711,1.52817,1.16382,0.67535,0.8244,0.84072,0.67159,0.83878,1.22339,1.00226,0.000117164,0.000117164,0.000117164
5,285.187,1.12637,1.59616,1.17572,0.71608,0.80414,0.84956,0.68294,0.8383,1.07553,0.99587,0.000145789,0.000145789,0.000145789
6,339.644,1.02515,1.43835,1.11992,0.70066,0.77549,0.84353,0.68259,0.8413,1.05609,0.99599,0.000173799,0.000173799,0.000173799
7,394.117,1.04907,1.3983,1.13283,0.69581,0.82807,0.84433,0.68119,0.84465,1.04104,0.9989,0.000201194,0.000201194,0.000201194
8,449.013,1.0721,1.43841,1.13685,0.74122,0.76465,0.816,0.65235,0.853,1.0573,1.00115,0.000227975,0.000227975,0.000227975
9,503.76,1.04843,1.4109,1.13898,0.72807,0.78585,0.80106,0.63155,0.88876,1.10002,1.01768,0.000254141,0.000254141,0.000254141
10,559.833,1.04547,1.36226,1.13082,0.84318,0.71948,0.82415,0.64889,0.88426,1.12327,1.02631,0.000279692,0.000279692,0.000279692
11,615.035,1.0488,1.38434,1.12289,0.78565,0.68465,0.83374,0.66765,0.9018,1.15276,1.03683,0.000304628,0.000304628,0.000304628
12,669.687,1.03673,1.35566,1.12557,0.89974,0.61076,0.82439,0.66328,0.86548,1.13412,1.02472,0.000307429,0.000307429,0.000307429
13,725.197,1.03722,1.32048,1.12396,0.68674,0.76512,0.80816,0.6408,0.88264,1.08227,1.03367,0.000304014,0.000304014,0.000304014
14,779.56,1.0391,1.30012,1.14195,0.68726,0.74224,0.80198,0.61879,0.94961,1.05976,1.07449,0.000300598,0.000300598,0.000300598
15,834.552,1.03421,1.32732,1.12327,0.77227,0.71862,0.8029,0.62459,0.91167,1.06051,1.0532,0.000297183,0.000297183,0.000297183
16,889.523,0.99384,1.25416,1.10205,0.82055,0.66206,0.77794,0.59478,0.95412,1.10126,1.05294,0.000293768,0.000293768,0.000293768
