epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4341,2.06731,4.9344,1.73202,0,0,0,0,1.70558,4.83232,1.18841,2.76e-05,2.76e-05,2.76e-05
2,35.8954,1.87756,4.94117,1.5829,0,0,0,0,1.7199,4.82561,1.17283,5.76823e-05,5.76823e-05,5.76823e-05
3,48.873,1.85882,4.94067,1.47965,0,0,0,0,1.78118,4.83586,1.17917,8.67399e-05,8.67399e-05,8.67399e-05
4,62.1554,1.75809,4.81759,1.41113,0,0,0,0,1.71104,4.83387,1.16237,0.000114773,0.000114773,0.000114773
5,76.061,1.67429,4.73693,1.32765,0,0,0,0,1.58822,4.80311,1.16135,0.000141781,0.000141781,0.000141781
6,88.8489,1.62517,4.6509,1.29754,0,0,0,0,1.5942,4.75711,1.14816,0.000167765,0.000167765,0.000167765
7,101.306,1.65493,4.46082,1.26806,0.02711,0.01716,0.01576,0.01028,1.65165,4.67042,1.18026,0.000192724,0.000192724,0.000192724
8,113.843,1.66883,4.39645,1.2674,0.01872,0.07634,0.01664,0.00974,1.67504,4.51086,1.19023,0.000216658,0.000216658,0.000216658
9,126.55,1.63109,4.26019,1.27025,0.01976,0.14385,0.0227,0.01399,1.62845,4.37205,1.17778,0.000239568,0.000239568,0.000239568
10,139.323,1.63796,4.14898,1.24015,0.02276,0.18148,0.02833,0.01818,1.59346,4.28252,1.1614,0.000261453,0.000261453,0.000261453
11,151.767,1.61392,4.0669,1.22197,0.02134,0.21371,0.03358,0.0214,1.63698,4.21158,1.17763,0.000282313,0.000282313,0.000282313
12,164.352,1.6206,3.99523,1.23526,0.01961,0.29072,0.04058,0.02612,1.65762,4.05773,1.18465,0.000282382,0.000282382,0.000282382
13,176.773,1.60172,3.88141,1.2218,0.06061,0.16268,0.04265,0.02801,1.62965,3.96153,1.1787,0.00027669,0.00027669,0.00027669
14,189.339,1.64922,3.74472,1.25277,0.19022,0.14314,0.04433,0.02905,1.63531,3.93603,1.17692,0.000270997,0.000270997,0.000270997
15,201.98,1.62044,3.75094,1.2362,0.22856,0.16611,0.05085,0.03227,1.67534,3.90001,1.17857,0.000265305,0.000265305,0.000265305
16,214.624,1.62291,3.69912,1.20963,0.06316,0.33289,0.05251,0.03124,1.80181,3.80817,1.21381,0.000259612,0.000259612,0.000259612
17,227.343,1.67582,3.65696,1.24972,0.01888,0.36892,0.05043,0.03135,1.76925,3.78934,1.20797,0.00025392,0.00025392,0.00025392
18,239.781,1.58741,3.56667,1.21329,0.32232,0.07059,0.04623,0.02746,1.70441,3.81591,1.18699,0.000248228,0.000248228,0.000248228
19,252.739,1.60362,3.47585,1.22273,0.02145,0.3627,0.04482,0.02706,1.64784,3.86412,1.17299,0.000242535,0.000242535,0.000242535
20,265.37,1.61517,3.4825,1.21765,0.02177,0.34549,0.04272,0.02587,1.63781,3.88884,1.18256,0.000236843,0.000236843,0.000236843
21,277.831,1.55854,3.32284,1.20994,0.11443,0.22559,0.04804,0.0286,1.63,3.79932,1.18346,0.00023115,0.00023115,0.00023115
22,290.143,1.57031,3.33604,1.21273,0.38161,0.09883,0.04776,0.02876,1.63213,3.69247,1.18742,0.000225457,0.000225457,0.000225457
23,302.52,1.5745,3.24491,1.21618,0.37988,0.10664,0.05237,0.03078,1.63158,3.57608,1.18212,0.000219765,0.000219765,0.000219765
24,315.106,1.5803,3.1688,1.20968,0.42398,0.10228,0.05059,0.03032,1.6968,3.56908,1.21171,0.000214073,0.000214073,0.000214073
25,327.664,1.57064,3.18664,1.19423,0.41496,0.07045,0.05098,0.0307,1.71463,3.58612,1.22561,0.00020838,0.00020838,0.00020838
26,340.326,1.57027,3.07679,1.21038,0.41744,0.07363,0.05276,0.03274,1.64905,3.55904,1.21914,0.000202687,0.000202687,0.000202687
27,352.645,1.50196,3.02073,1.17554,0.42146,0.06903,0.05489,0.03516,1.61659,3.58401,1.22582,0.000196995,0.000196995,0.000196995
28,365.119,1.60262,3.00028,1.20429,0.47823,0.06786,0.06485,0.04392,1.61941,3.67315,1.24048,0.000191303,0.000191303,0.000191303
29,377.561,1.60181,2.96889,1.18322,0.2574,0.08974,0.06695,0.04506,1.65777,3.67465,1.25232,0.00018561,0.00018561,0.00018561
30,390.496,1.60105,2.90123,1.20922,0.24165,0.11181,0.06462,0.04335,1.61164,3.63871,1.23295,0.000179917,0.000179917,0.000179917
31,403.409,1.5442,2.8378,1.21322,0.23214,0.15939,0.06658,0.04268,1.61059,3.63723,1.23457,0.000174225,0.000174225,0.000174225
32,416.115,1.52352,2.86229,1.19223,0.23148,0.17682,0.07021,0.04564,1.60199,3.66304,1.24149,0.000168532,0.000168532,0.000168532
33,428.416,1.47928,2.67055,1.17669,0.32424,0.07975,0.07007,0.04566,1.58961,3.61539,1.23856,0.00016284,0.00016284,0.00016284
34,440.708,1.54691,2.67788,1.19822,0.33197,0.09407,0.07278,0.04736,1.5775,3.54216,1.2273,0.000157147,0.000157147,0.000157147
35,453.287,1.47874,2.69638,1.18149,0.32146,0.09274,0.07352,0.04634,1.60073,3.47896,1.22727,0.000151455,0.000151455,0.000151455
36,465.93,1.49488,2.71169,1.19141,0.27115,0.12948,0.07144,0.04242,1.67591,3.29064,1.21544,0.000145762,0.000145762,0.000145762
37,478.722,1.51401,2.66593,1.18146,0.29083,0.13822,0.0742,0.04306,1.66696,3.19868,1.20253,0.00014007,0.00014007,0.00014007
38,491.185,1.43904,2.62178,1.17073,0.29965,0.14529,0.07822,0.04637,1.64051,3.14074,1.20327,0.000134377,0.000134377,0.000134377
39,503.515,1.53931,2.64145,1.18256,0.28805,0.15039,0.0819,0.04722,1.63512,3.09924,1.2114,0.000128685,0.000128685,0.000128685
40,516.032,1.4754,2.56469,1.16733,0.29241,0.1478,0.07784,0.04498,1.64367,3.08872,1.2161,0.000122992,0.000122992,0.000122992
41,528.437,1.524,2.60914,1.19289,0.29122,0.15096,0.07769,0.04343,1.61696,3.07976,1.20929,0.0001173,0.0001173,0.0001173
42,541.164,1.49595,2.54476,1.19001,0.29205,0.15861,0.08026,0.04621,1.60503,3.06381,1.20847,0.000111607,0.000111607,0.000111607
43,553.667,1.50426,2.53117,1.17977,0.28038,0.15212,0.07887,0.04486,1.61057,3.05118,1.21249,0.000105915,0.000105915,0.000105915
44,566.13,1.48983,2.51574,1.17023,0.24052,0.14928,0.08044,0.04483,1.65096,3.02919,1.22376,0.000100222,0.000100222,0.000100222
45,578.544,1.47826,2.48964,1.17385,0.2411,0.15998,0.08308,0.04536,1.68263,3.02645,1.23619,9.453e-05,9.453e-05,9.453e-05
46,591.177,1.46357,2.40673,1.1737,0.2463,0.15412,0.08327,0.04567,1.71083,3.02502,1.24464,8.88375e-05,8.88375e-05,8.88375e-05
47,603.791,1.42,2.43138,1.16077,0.25284,0.16928,0.09022,0.04802,1.68572,3.01188,1.23491,8.3145e-05,8.3145e-05,8.3145e-05
48,616.863,1.4291,2.45163,1.15593,0.28343,0.1613,0.10215,0.05573,1.61765,2.95815,1.21481,7.74525e-05,7.74525e-05,7.74525e-05
49,629.234,1.42474,2.43309,1.14273,0.28034,0.16179,0.10134,0.0559,1.60937,2.95838,1.21744,7.176e-05,7.176e-05,7.176e-05
50,641.555,1.43923,2.42594,1.16422,0.27101,0.17226,0.10073,0.05527,1.60412,2.97092,1.21581,6.60675e-05,6.60675e-05,6.60675e-05
51,653.824,1.48557,2.34904,1.17576,0.27267,0.20497,0.09907,0.05564,1.62428,2.93447,1.2187,6.0375e-05,6.0375e-05,6.0375e-05
52,666.291,1.44613,2.29828,1.20375,0.27292,0.21975,0.1005,0.05585,1.61152,2.8867,1.21511,5.46825e-05,5.46825e-05,5.46825e-05
53,678.401,1.40807,2.31369,1.18371,0.26416,0.18653,0.10335,0.05835,1.58971,2.85922,1.21284,4.899e-05,4.899e-05,4.899e-05
54,691.308,1.45618,2.31814,1.18732,0.26595,0.18884,0.10449,0.05715,1.59426,2.84108,1.21576,4.32975e-05,4.32975e-05,4.32975e-05
55,703.491,1.41324,2.27701,1.15828,0.27029,0.16429,0.10551,0.05851,1.59947,2.83398,1.21947,3.7605e-05,3.7605e-05,3.7605e-05
56,715.831,1.3929,2.24955,1.14605,0.26344,0.18372,0.10759,0.06021,1.60468,2.8055,1.22285,3.19125e-05,3.19125e-05,3.19125e-05
57,728.098,1.38406,2.21425,1.1557,0.22566,0.19508,0.1087,0.06177,1.61075,2.79635,1.22458,2.622e-05,2.622e-05,2.622e-05
58,740.278,1.41233,2.31561,1.17383,0.26396,0.1864,0.11056,0.06226,1.61052,2.78032,1.22316,2.05275e-05,2.05275e-05,2.05275e-05
59,752.495,1.42532,2.22444,1.15514,0.26593,0.19375,0.10989,0.06145,1.60955,2.77746,1.22134,1.4835e-05,1.4835e-05,1.4835e-05
