epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2351.87,1.07939,1.59225,1.15297,0.41694,0.36207,0.35203,0.23207,1.20262,2.05662,1.19091,0.000111607,0.000111607,0.000111607
43,2406.99,1.11095,1.61945,1.15465,0.46465,0.34818,0.35326,0.23503,1.2266,2.06285,1.1941,0.000105915,0.000105915,0.000105915
44,2461.56,1.07589,1.59004,1.13584,0.53948,0.3138,0.34302,0.22069,1.27965,2.04967,1.20612,0.000100222,0.000100222,0.000100222
45,2516.43,1.07907,1.60251,1.14115,0.43757,0.36005,0.34488,0.22318,1.25063,2.03241,1.18835,9.453e-05,9.453e-05,9.453e-05
46,2571.16,1.08026,1.6006,1.13814,0.54234,0.31971,0.34888,0.23317,1.22702,2.01988,1.18712,8.88375e-05,8.88375e-05,8.88375e-05
47,2625.88,1.03211,1.54039,1.13305,0.45151,0.34916,0.34545,0.23155,1.21128,2.01814,1.18215,8.3145e-05,8.3145e-05,8.3145e-05
48,2681.14,1.03073,1.49151,1.12721,0.56747,0.32624,0.36098,0.2412,1.21982,2.02041,1.19276,7.74525e-05,7.74525e-05,7.74525e-05
49,2735.67,1.01947,1.52707,1.11155,0.56737,0.32264,0.36073,0.23973,1.22035,2.02077,1.19242,7.176e-05,7.176e-05,7.176e-05
50,2790.87,1.04321,1.52606,1.13629,0.56108,0.32165,0.3651,0.24677,1.21875,2.01389,1.18904,6.60675e-05,6.60675e-05,6.60675e-05
51,2845.12,1.14783,1.84872,1.18125,0.45038,0.33397,0.35668,0.23924,1.21,2.00642,1.18195,6.0375e-05,6.0375e-05,6.0375e-05
52,2898.42,1.08446,1.69678,1.18261,0.43777,0.34534,0.33606,0.2298,1.17726,2.05621,1.17128,5.46825e-05,5.46825e-05,5.46825e-05
53,2952.24,1.07846,1.68176,1.18399,0.4361,0.37915,0.32602,0.22387,1.19712,2.12137,1.19113,4.899e-05,4.899e-05,4.899e-05
54,3006.04,1.13546,1.76167,1.19699,0.41092,0.3692,0.31031,0.21218,1.21095,2.18107,1.1968,4.32975e-05,4.32975e-05,4.32975e-05
55,3060.1,1.07369,1.62986,1.15392,0.34819,0.37705,0.30583,0.20894,1.21124,2.17714,1.19655,3.7605e-05,3.7605e-05,3.7605e-05
56,3114.26,1.06124,1.65191,1.14084,0.39219,0.35598,0.31523,0.2121,1.21661,2.12829,1.19878,3.19125e-05,3.19125e-05,3.19125e-05
57,3168.15,1.01083,1.51765,1.13361,0.41277,0.32241,0.32098,0.21395,1.21978,2.10562,1.19512,2.622e-05,2.622e-05,2.622e-05
58,3221.53,1.04808,1.72605,1.14063,0.42096,0.32197,0.32296,0.21319,1.22875,2.08812,1.20077,2.05275e-05,2.05275e-05,2.05275e-05
59,3275.13,1.03057,1.61691,1.10767,0.39902,0.34589,0.32248,0.21297,1.2398,2.07143,1.20684,1.4835e-05,1.4835e-05,1.4835e-05
60,3328.78,1.05971,1.62982,1.13324,0.38825,0.34549,0.31934,0.2104,1.24361,2.05612,1.20743,9.1425e-06,9.1425e-06,9.1425e-06
